shot_id,loc_x,loc_y,shot_distance,shot_zone_area,playoffs,period,minutes_remaining,seconds_remaining,shot_type,action_type,t1,t2,t3,t4,t5,t6
139,0,0,0,0,0,4,3,28,2,2,0,0,1,0,0,0
159,0,0,0,0,0,3,3,53,2,2,0,0,1,0,0,0
160,0,0,0,0,0,3,0,37,2,2,0,0,1,0,0,0
163,0,0,0,0,0,4,10,11,2,2,0,0,1,0,0,0
165,0,0,0,0,0,4,5,32,2,2,0,0,1,0,0,0
209,0,0,0,0,0,4,7,10,2,2,0,0,1,0,0,0
216,0,0,0,0,0,1,3,10,2,2,0,0,1,0,0,0
117,0,0,0,0,0,1,9,21,2,3,0,0,0,1,0,0
142,0,0,0,0,0,4,1,3,2,3,0,0,0,1,0,0
156,0,0,0,0,0,2,0,26,2,3,0,0,0,1,0,0
387,0,0,0,0,0,3,0,0,2,3,0,0,0,1,0,0
423,0,0,0,0,0,1,7,27,2,3,0,0,0,1,0,0
660,0,0,0,0,0,1,0,45,2,3,0,0,0,1,0,0
926,0,0,0,0,0,1,2,54,2,3,0,0,0,1,0,0
964,0,0,0,0,0,4,2,6,2,3,0,0,0,1,0,0
1022,0,0,0,0,0,2,5,51,2,3,0,0,0,1,0,0
1051,0,0,0,0,0,2,4,13,2,3,0,0,0,1,0,0
1271,0,0,0,0,0,1,6,42,2,3,0,0,0,1,0,0
1278,0,0,0,0,0,3,11,36,2,3,0,0,0,1,0,0
1385,0,0,0,0,0,2,5,57,2,3,0,0,0,1,0,0
1569,0,0,0,0,0,4,6,33,2,3,0,0,0,1,0,0
1701,0,0,0,0,0,1,3,35,2,3,0,0,0,1,0,0
1702,0,0,0,0,0,1,3,33,2,3,0,0,0,1,0,0
145,0,0,0,0,0,1,3,8,2,4,0,0,0,0,1,0
182,0,0,0,0,0,4,11,44,2,4,0,0,0,0,1,0
195,0,0,0,0,0,1,4,9,2,4,0,0,0,0,1,0
243,0,0,0,0,0,2,10,17,2,4,0,0,0,0,1,0
245,0,0,0,0,0,2,3,34,2,4,0,0,0,0,1,0
279,0,0,0,0,0,1,5,17,2,4,0,0,0,0,1,0
290,-56,21,5,0,0,3,2,15,2,4,0,0,0,0,1,0
561,0,0,0,0,0,1,6,3,2,4,0,0,0,0,1,0
638,0,0,0,0,0,2,6,21,2,4,0,0,0,0,1,0
650,0,0,0,0,0,4,7,33,2,4,0,0,0,0,1,0
670,0,0,0,0,0,3,5,51,2,4,0,0,0,0,1,0
719,0,0,0,0,0,1,2,51,2,4,0,0,0,0,1,0
752,0,0,0,0,0,4,3,50,2,4,0,0,0,0,1,0
799,0,0,0,0,0,4,6,53,2,4,0,0,0,0,1,0
840,0,0,0,0,0,2,2,28,2,4,0,0,0,0,1,0
954,0,0,0,0,0,3,10,30,2,4,0,0,0,0,1,0
966,0,0,0,0,0,4,0,38,2,4,0,0,0,0,1,0
1062,0,0,0,0,0,3,2,57,2,4,0,0,0,0,1,0
1077,0,0,0,0,0,3,8,1,2,4,0,0,0,0,1,0
1078,0,0,0,0,0,3,7,30,2,4,0,0,0,0,1,0
124,0,0,0,0,0,2,0,30,2,5,0,0,0,0,0,1
1238,0,0,0,0,0,1,7,55,2,5,0,0,0,0,0,1
1330,94,2,9,1,0,5,4,48,2,5,0,0,0,0,0,1
2239,85,0,8,1,0,4,7,11,2,5,0,0,0,0,0,1
2371,62,-8,6,0,0,1,1,19,2,5,0,0,0,0,0,1
2544,1,70,7,0,0,2,1,13,2,5,0,0,0,0,0,1
2551,64,82,10,1,0,4,9,24,2,5,0,0,0,0,0,1
2764,-27,80,8,0,0,2,1,12,2,5,0,0,0,0,0,1
2816,-124,63,13,3,0,2,10,32,2,5,0,0,0,0,0,1
2860,43,34,5,0,0,4,3,8,2,5,0,0,0,0,0,1
3285,-5,17,1,0,0,3,8,37,2,5,0,0,0,0,0,1
4483,79,192,20,2,0,1,9,41,2,5,0,0,0,0,0,1
4542,10,68,6,0,0,2,9,33,2,5,0,0,0,0,0,1
